"","ANO","NIVEL","CODMUNRES","POPRE_T","POPRC_T","POPRC_M","POPRC_F","POPRC_15","POPRC_15_49","POPRC_50","POPRC_F_15","POPRC_F_15_49","POPRC_F_50"
"68",2015,"Cubati (PB)",2505006,7193,6866,3393,3473,1918,3542,1406,925,1765,783
"69",2015,"Cuité (PB)",2505105,20325,19978,9833,10145,4937,10264,4777,2346,5219,2580
"70",2015,"Cuitegi (PB)",2505204,6841,6889,3389,3500,1964,3506,1419,974,1737,789
"71",2015,"Cuité de Mamanguape (PB)",2505238,6340,6202,3100,3102,1742,3114,1346,836,1564,702
"72",2015,"Curral de Cima (PB)",2505279,5245,5209,2632,2577,1483,2622,1104,722,1276,579
"73",2015,"Curral Velho (PB)",2505303,2523,2505,1304,1201,675,1389,441,319,649,233
"74",2015,"Damião (PB)",2505352,5246,4900,2460,2440,1473,2443,984,754,1173,513
"75",2015,"Desterro (PB)",2505402,8253,7991,3893,4098,2298,3995,1698,1135,2037,926
"76",2015,"Vista Serrana (PB)",2505501,3744,3512,1821,1691,913,1936,663,404,929,358
"77",2015,"Diamante (PB)",2505600,6591,6616,3331,3285,1735,3545,1336,878,1692,715
"78",2015,"Dona Inês (PB)",2505709,10456,10517,5277,5240,3114,5113,2290,1551,2478,1211
"79",2015,"Duas Estradas (PB)",2505808,3618,3638,1790,1848,976,1787,875,491,868,489
"80",2015,"Emas (PB)",2505907,3485,3317,1673,1644,977,1727,613,458,859,327
"81",2015,"Esperança (PB)",2506004,32785,31095,15155,15940,8272,16237,6586,4042,8196,3702
"82",2015,"Fagundes (PB)",2506103,11378,11405,5607,5798,3200,5551,2654,1579,2775,1444
"83",2015,"Frei Martinho (PB)",2506202,2986,2933,1468,1465,643,1453,837,306,712,447
"84",2015,"Gado Bravo (PB)",2506251,8450,8376,4133,4243,2373,4188,1815,1151,2116,976
"85",2015,"Guarabira (PB)",2506301,58162,55326,26693,28633,13564,30731,11031,6682,15800,6151
"86",2015,"Gurinhém (PB)",2506400,14117,13872,6920,6952,3736,7305,2831,1809,3614,1529
"87",2015,"Gurjão (PB)",2506509,3376,3159,1550,1609,756,1657,746,378,827,404
"88",2015,"Ibiara (PB)",2506608,5974,6031,3033,2998,1473,3053,1505,672,1509,817
"89",2015,"Imaculada (PB)",2506707,11749,11352,5707,5645,3739,5682,1931,1818,2783,1044
"90",2015,"Ingá (PB)",2506806,18042,18180,8838,9342,4974,9120,4086,2466,4605,2271
"91",2015,"Itabaiana (PB)",2506905,24565,24481,11851,12630,5862,13112,5507,2823,6683,3124
"92",2015,"Itaporanga (PB)",2507002,24499,23192,11389,11803,6072,12746,4374,2936,6453,2414
"93",2015,"Itapororoca (PB)",2507101,18332,16997,8560,8437,4605,8898,3494,2225,4370,1842
"94",2015,"Itatuba (PB)",2507200,10739,10201,5049,5152,2781,5266,2154,1385,2609,1158
"95",2015,"Jacaraú (PB)",2507309,14316,13942,6918,7024,3807,7000,3135,1858,3512,1654
"96",2015,"Jericó (PB)",2507408,7717,7538,3694,3844,1882,3891,1765,920,1983,941
"97",2015,"João Pessoa (PB)",2507507,791438,723515,337783,385732,160156,420782,142577,78924,223136,83672
"98",2015,"Juarez Távora (PB)",2507606,7850,7459,3641,3818,2042,3885,1532,1003,1984,831
"99",2015,"Juazeirinho (PB)",2507705,17902,16776,8366,8410,4994,8786,2996,2459,4319,1632
"100",2015,"Junco do Seridó (PB)",2507804,7054,6643,3308,3335,1788,3520,1335,889,1770,676
"101",2015,"Juripiranga (PB)",2507903,10669,10237,5129,5108,2785,5351,2101,1313,2647,1148
"102",2015,"Juru (PB)",2508000,9892,9826,4897,4929,2645,5143,2038,1346,2497,1086
"103",2015,"Lagoa (PB)",2508109,4687,4681,2304,2377,1135,2404,1142,542,1216,619
"104",2015,"Lagoa de Dentro (PB)",2508208,7619,7370,3626,3744,1972,3628,1770,974,1829,941
"105",2015,"Lagoa Seca (PB)",2508307,27247,25900,12743,13157,6917,13892,5091,3370,7057,2730
"106",2015,"Lastro (PB)",2508406,2765,2841,1438,1403,670,1483,688,342,729,332
"107",2015,"Livramento (PB)",2508505,7355,7164,3524,3640,2059,3547,1558,1008,1785,847
"108",2015,"Logradouro (PB)",2508554,4254,3942,1938,2004,1031,2093,818,519,1040,445
"109",2015,"Lucena (PB)",2508604,12804,11730,5832,5898,3493,6291,1946,1736,3158,1004
"110",2015,"Mãe d'Água (PB)",2508703,4026,4019,1964,2055,1085,2040,894,533,1033,489
"111",2015,"Malta (PB)",2508802,5672,5613,2703,2910,1470,2804,1339,731,1428,751
"112",2015,"Mamanguape (PB)",2508901,44369,42303,20790,21513,11924,22870,7509,5920,11485,4108
"113",2015,"Manaíra (PB)",2509008,11066,10759,5400,5359,3130,5592,2037,1519,2722,1118
"114",2015,"Marcação (PB)",2509057,8361,7609,3894,3715,2430,4033,1146,1181,1950,584
"115",2015,"Mari (PB)",2509107,21755,21176,10367,10809,5429,10922,4825,2660,5506,2643
"116",2015,"Marizópolis (PB)",2509156,6522,6173,3016,3157,1577,3237,1359,781,1632,744
"117",2015,"Massaranduba (PB)",2509206,13654,12902,6245,6657,3498,6588,2816,1711,3402,1544
"118",2015,"Mataraca (PB)",2509305,8219,7407,3690,3717,2360,3956,1091,1195,1973,549
"119",2015,"Matinhas (PB)",2509339,4497,4321,2151,2170,1252,2199,870,622,1083,465
"120",2015,"Mato Grosso (PB)",2509370,2869,2702,1349,1353,691,1436,575,337,724,292
"121",2015,"Maturéia (PB)",2509396,6441,5939,2900,3039,1727,3122,1090,848,1600,591
"122",2015,"Mogeiro (PB)",2509404,13317,12491,6078,6413,3473,6486,2532,1750,3318,1345
"123",2015,"Montadas (PB)",2509503,5528,4990,2482,2508,1354,2517,1119,650,1262,596
"124",2015,"Monte Horebe (PB)",2509602,4759,4508,2262,2246,1222,2349,937,597,1137,512
"125",2015,"Monteiro (PB)",2509701,32774,30852,14985,15867,7667,16123,7062,3772,8209,3886
"126",2015,"Mulungu (PB)",2509800,9840,9469,4630,4839,2454,4960,2055,1249,2460,1130
"127",2015,"Natuba (PB)",2509909,10450,10566,5217,5349,3072,5302,2192,1513,2644,1192
"128",2015,"Nazarezinho (PB)",2510006,7318,7280,3631,3649,1833,3707,1740,908,1826,915
"129",2015,"Nova Floresta (PB)",2510105,10650,10533,5121,5412,2798,5400,2335,1347,2791,1274
"130",2015,"Nova Olinda (PB)",2510204,5999,6070,3019,3051,1714,3168,1188,813,1576,662
"131",2015,"Nova Palmeira (PB)",2510303,4784,4361,2163,2198,1064,2304,993,570,1109,519
"132",2015,"Olho d'Água (PB)",2510402,6646,6931,3352,3579,1853,3618,1460,953,1845,781
"133",2015,"Olivedos (PB)",2510501,3880,3627,1853,1774,896,1926,805,420,938,416
"134",2015,"Ouro Velho (PB)",2510600,3023,2928,1470,1458,689,1521,718,342,753,363
"135",2015,"Parari (PB)",2510659,1795,1256,621,635,311,620,325,152,314,169
"136",2015,"Passagem (PB)",2510709,2383,2233,1107,1126,574,1166,493,293,561,272
"137",2015,"Patos (PB)",2510808,106314,100674,47805,52869,25127,56200,19347,12444,29292,11133
"138",2015,"Paulista (PB)",2510907,12216,11788,5829,5959,2767,6393,2628,1357,3210,1392
"139",2015,"Pedra Branca (PB)",2511004,3796,3721,1847,1874,1013,1945,763,494,976,404
"140",2015,"Pedra Lavrada (PB)",2511103,7982,7475,3734,3741,1884,3896,1695,936,1950,855
"141",2015,"Pedras de Fogo (PB)",2511202,28286,27032,13467,13565,7450,14708,4874,3634,7346,2585
"142",2015,"Piancó (PB)",2511301,15985,15465,7388,8077,3651,8306,3508,1861,4262,1954
"143",2015,"Picuí (PB)",2511400,18670,18222,8953,9269,4871,9364,3987,2425,4707,2137
"144",2015,"Pilar (PB)",2511509,11786,11191,5499,5692,3052,5959,2180,1536,2982,1174
"145",2015,"Pilões (PB)",2511608,6728,6978,3517,3461,2079,3601,1298,1000,1759,702
"146",2015,"Pilõezinhos (PB)",2511707,5118,5155,2543,2612,1414,2636,1105,693,1318,601
"147",2015,"Pirpirituba (PB)",2511806,10555,10326,5114,5212,2724,5374,2228,1325,2667,1220
"148",2015,"Pitimbu (PB)",2511905,18685,17024,8609,8415,5361,9177,2486,2627,4518,1270
"149",2015,"Pocinhos (PB)",2512002,18272,17032,8490,8542,4815,8672,3545,2336,4323,1883
"150",2015,"Poço Dantas (PB)",2512036,3778,3751,1905,1846,1093,1985,673,525,960,361
"151",2015,"Poço de José de Moura (PB)",2512077,4245,3978,1933,2045,952,1968,1058,445,1034,566
"152",2015,"Pombal (PB)",2512101,32712,32110,15381,16729,7294,17165,7651,3606,8828,4295
"153",2015,"Prata (PB)",2512200,4109,3854,1926,1928,959,1974,921,460,969,499
"154",2015,"Princesa Isabel (PB)",2512309,22995,21283,10448,10835,5691,11402,4190,2770,5757,2308
"155",2015,"Puxinanã (PB)",2512408,13557,12923,6356,6567,3527,6764,2632,1741,3399,1427
"156",2015,"Queimadas (PB)",2512507,43667,41049,19936,21113,11018,21868,8163,5425,11270,4418
"157",2015,"Quixaba (PB)",2512606,1901,1699,893,806,453,911,335,218,427,161
"158",2015,"Remígio (PB)",2512705,19149,17581,8379,9202,4755,8836,3990,2364,4612,2226
"159",2015,"Pedro Régis (PB)",2512721,6034,5765,2890,2875,1666,2804,1295,786,1409,680
"160",2015,"Riachão (PB)",2512747,3531,3266,1602,1664,928,1682,656,457,843,364
"161",2015,"Riachão do Bacamarte (PB)",2512754,4476,4264,2082,2182,1150,2184,930,581,1094,507
"162",2015,"Riachão do Poço (PB)",2512762,4442,4164,2086,2078,1143,2153,868,554,1087,437
"163",2015,"Riacho de Santo Antônio (PB)",2512788,1923,1722,871,851,488,915,319,243,453,155
"164",2015,"Riacho dos Cavalos (PB)",2512804,8563,8314,4242,4072,2045,4566,1703,998,2198,876
"165",2015,"Rio Tinto (PB)",2512903,24023,22976,11310,11666,5758,12324,4894,2820,6119,2727
"166",2015,"Salgadinho (PB)",2513000,3871,3508,1782,1726,1040,1765,703,508,839,379
"167",2015,"Salgado de São Félix (PB)",2513109,12144,11976,5836,6140,3082,5752,3142,1521,2925,1694
"168",2015,"Santa Cecília (PB)",2513158,6583,6658,3409,3249,1996,3300,1362,951,1605,693
"169",2015,"Santa Cruz (PB)",2513208,6579,6471,3283,3188,1365,3199,1907,629,1575,984
"170",2015,"Santa Helena (PB)",2513307,5917,5369,2626,2743,1255,2636,1478,623,1331,789
